sampledate,site,time,depth,par
2018-06-24,st33,2018-06-24T11:46:00Z,0,1606
2018-06-24,st33,2018-06-24T11:46:00Z,0.5,1120
2018-06-24,st33,2018-06-24T11:46:00Z,1,990
2018-06-24,st33,2018-06-24T11:46:00Z,1.5,840
2018-06-24,st33,2018-06-24T11:46:00Z,2,700
2018-06-24,st33,2018-06-24T11:46:00Z,2.5,560
2018-06-24,st33,2018-06-24T11:46:00Z,3,435
2018-06-24,st33,2018-06-24T14:05:00Z,0,970
2018-06-24,st33,2018-06-24T14:05:00Z,0.5,680
2018-06-24,st33,2018-06-24T14:05:00Z,1,630
2018-06-24,st33,2018-06-24T14:05:00Z,1.5,370
2018-06-24,st33,2018-06-24T14:05:00Z,2,180
2018-06-24,st33,2018-06-24T14:05:00Z,2.5,190
2018-06-24,st33,2018-06-24T14:05:00Z,3,166
2018-06-24,st33,2018-06-24T16:30:00Z,0,405
2018-06-24,st33,2018-06-24T16:30:00Z,0.5,300
2018-06-24,st33,2018-06-24T16:30:00Z,1,260
2018-06-24,st33,2018-06-24T16:30:00Z,1.5,230
2018-06-24,st33,2018-06-24T16:30:00Z,2,220
2018-06-24,st33,2018-06-24T16:30:00Z,2.5,180
2018-06-24,st33,2018-06-24T16:30:00Z,3,130
2018-06-27,btl,2018-06-27T15:00:00Z,-0.05,850
2018-06-27,btl,2018-06-27T15:00:00Z,0,520
2018-06-27,btl,2018-06-27T15:00:00Z,0.5,70
2018-06-27,btl,2018-06-27T15:00:00Z,1,420
2018-06-27,btl,2018-06-27T15:05:00Z,-0.05,600
2018-06-27,btl,2018-06-27T15:05:00Z,0,515
2018-06-27,btl,2018-06-27T15:05:00Z,0.5,390
2018-06-27,btl,2018-06-27T15:05:00Z,1,280
2018-06-27,btl,2018-06-27T15:10:00Z,-0.05,780
2018-06-27,btl,2018-06-27T15:10:00Z,0,570
2018-06-27,btl,2018-06-27T15:10:00Z,0.5,380
2018-06-27,btl,2018-06-27T15:10:00Z,1,280
2018-06-27,btl,2018-06-27T15:15:00Z,-0.05,510
2018-06-27,btl,2018-06-27T15:15:00Z,0,420
2018-06-27,btl,2018-06-27T15:15:00Z,0.5,330
2018-06-27,btl,2018-06-27T15:15:00Z,1,240
2018-06-28,reyk,2018-06-28T16:24:00Z,0,63
2018-06-28,reyk,2018-06-28T16:24:00Z,0.5,48
2018-06-28,reyk,2018-06-28T16:24:00Z,1,36
2018-06-28,reyk,2018-06-28T16:24:00Z,1.5,30
2018-06-28,reyk,2018-06-28T16:24:00Z,2,24
2018-06-28,reyk,2018-06-28T16:24:00Z,2.5,19.3
2018-06-28,reyk,2018-06-28T16:24:00Z,3,15.6
2018-06-28,reyk,2018-06-28T16:47:00Z,0,133
2018-06-28,reyk,2018-06-28T16:47:00Z,0.5,67
2018-06-28,reyk,2018-06-28T16:47:00Z,1,55
2018-06-28,reyk,2018-06-28T16:47:00Z,1.5,44
2018-06-28,reyk,2018-06-28T16:47:00Z,2,37
2018-06-28,reyk,2018-06-28T16:47:00Z,2.5,31
2018-06-28,reyk,2018-06-28T16:47:00Z,3,24
2018-06-28,btl,2018-06-28T20:00:00Z,0,103
2018-06-28,btl,2018-06-28T20:00:00Z,0.5,78
2018-06-28,btl,2018-06-28T20:00:00Z,1,68
2018-06-28,btl,2018-06-28T20:00:00Z,1.5,47
2018-06-28,btl,2018-06-28T20:00:00Z,2,37
2018-06-28,btl,2018-06-28T20:30:00Z,-0.05,180
2018-06-28,btl,2018-06-28T21:55:00Z,-0.05,76
2018-07-17,reyk,2018-07-17T17:34:00Z,-0.05,1110
2018-07-17,reyk,2018-07-17T17:34:00Z,0.05,760
2018-07-17,reyk,2018-07-17T17:34:00Z,0.5,99
2018-07-17,reyk,2018-07-17T17:35:00Z,-0.05,610
2018-07-17,reyk,2018-07-17T17:35:00Z,0.05,550
2018-07-17,reyk,2018-07-17T17:35:00Z,0.5,67
2018-07-17,reyk,2018-07-17T17:35:00Z,1,32
2018-07-17,reyk,2018-07-17T17:35:00Z,1.5,9
2018-07-17,reyk,2018-07-17T17:35:00Z,2,13
2018-07-17,reyk,2018-07-17T20:37:00Z,-0.05,410
2018-07-17,reyk,2018-07-17T20:37:00Z,0.05,340
2018-07-17,reyk,2018-07-17T20:37:00Z,0.5,140
2018-07-17,reyk,2018-07-17T20:37:00Z,1,41
2018-07-17,reyk,2018-07-17T20:37:00Z,1.5,18
2018-07-17,reyk,2018-07-17T20:37:00Z,2,5.5
2018-07-17,reyk,2018-07-17T20:37:00Z,2.5,2.4
2018-07-17,reyk,2018-07-17T20:37:00Z,3,1.3
2018-07-17,reyk,2018-07-17T21:08:00Z,-0.05,330
2018-07-17,reyk,2018-07-17T21:08:00Z,0.05,210
2018-07-17,reyk,2018-07-17T21:08:00Z,0.5,130
2018-07-17,reyk,2018-07-17T21:08:00Z,1,60
2018-07-17,reyk,2018-07-17T21:08:00Z,1.5,30
2018-07-17,reyk,2018-07-17T21:08:00Z,2,17
2018-07-17,reyk,2018-07-17T21:08:00Z,2.5,12
2018-07-17,reyk,2018-07-17T21:08:00Z,3,7
2018-07-17,reyk,2018-07-17T21:29:00Z,-0.05,210
2018-07-17,reyk,2018-07-17T21:29:00Z,0.05,130
2018-07-17,reyk,2018-07-17T21:29:00Z,0.5,70
2018-07-17,reyk,2018-07-17T21:29:00Z,1,30
2018-07-17,grim,2018-07-17T14:27:00Z,0.05,620
2018-07-17,grim,2018-07-17T14:27:00Z,0.5,87
2018-07-17,grim,2018-07-17T14:27:00Z,1,30
2018-07-17,grim,2018-07-17T14:27:00Z,1.5,12.5
2018-07-17,grim,2018-07-17T14:27:00Z,2,7
2018-07-17,grim,2018-07-17T14:27:00Z,2.5,4
2018-07-17,grim,2018-07-17T14:27:00Z,3,2.5
2018-07-17,grim,2018-07-17T14:27:00Z,3.5,1.7
2018-07-17,grim,2018-07-17T14:27:00Z,4,1.3
2018-07-17,grim,2018-07-17T15:30:00Z,-0.05,875
2018-07-17,grim,2018-07-17T15:30:00Z,0.05,570
2018-07-17,grim,2018-07-17T15:30:00Z,0.5,37
2018-07-17,grim,2018-07-17T15:30:00Z,1,10
2018-07-17,grim,2018-07-17T15:30:00Z,1.5,5.5
2018-07-17,grim,2018-07-17T15:30:00Z,2,3
2018-07-17,grim,2018-07-17T18:17:00Z,0.05,420
2018-07-17,grim,2018-07-17T18:17:00Z,0.5,126
2018-07-17,grim,2018-07-17T18:17:00Z,1,40
2018-07-17,grim,2018-07-17T18:17:00Z,1.5,11
2018-07-17,grim,2018-07-17T18:17:00Z,2,4
2018-07-17,grim,2018-07-17T18:17:00Z,2.5,1.9
2018-07-17,grim,2018-07-17T18:17:00Z,3,1
2018-07-17,grim,2018-07-17T18:17:00Z,3.5,0.8
2018-07-17,grim,2018-07-17T21:52:00Z,-0.05,150
2018-07-17,grim,2018-07-17T21:52:00Z,0.05,100
2018-07-17,grim,2018-07-17T21:52:00Z,0.5,55
2018-07-17,grim,2018-07-17T21:52:00Z,1,19
2018-07-17,grim,2018-07-17T21:52:00Z,1.5,10
2018-07-17,grim,2018-07-17T21:52:00Z,2,5
2018-07-17,grim,2018-07-17T21:52:00Z,2.5,3
2018-07-17,grim,2018-07-17T21:52:00Z,3,2.5
2018-07-25,st33,2018-07-25T11:00:00Z,-0.05,430
2018-07-25,st33,2018-07-25T11:00:00Z,0.05,279
2018-07-25,st33,2018-07-25T11:00:00Z,0.5,134
2018-07-25,st33,2018-07-25T11:00:00Z,1,91
2018-07-25,st33,2018-07-25T11:00:00Z,1.5,55
2018-07-25,st33,2018-07-25T11:00:00Z,2,37
2018-07-25,st33,2018-07-25T11:00:00Z,2.5,28
2018-07-25,st33,2018-07-25T11:00:00Z,3,22
2018-07-25,st33,2018-07-25T12:08:00Z,-0.05,840
2018-07-25,st33,2018-07-25T12:08:00Z,0.05,560
2018-07-25,st33,2018-07-25T12:08:00Z,0.5,270
2018-07-25,st33,2018-07-25T12:08:00Z,1,136
2018-07-25,st33,2018-07-25T12:08:00Z,1.5,85
2018-07-25,st33,2018-07-25T12:12:00Z,-0.05,630
2018-07-25,st33,2018-07-25T12:12:00Z,0.05,415
2018-07-25,st33,2018-07-25T12:12:00Z,0.5,182
2018-07-25,st33,2018-07-25T12:12:00Z,1,71
2018-07-25,st33,2018-07-25T12:12:00Z,1.5,67
2018-07-25,st33,2018-07-25T12:12:00Z,2,47
2018-07-25,st33,2018-07-25T12:12:00Z,2.5,35
2018-07-25,st33,2018-07-25T12:12:00Z,3,17
2018-07-25,st33,2018-07-25T12:57:00Z,-0.05,500
2018-07-25,st33,2018-07-25T12:57:00Z,0.05,300
2018-07-25,st33,2018-07-25T12:57:00Z,0.5,130
2018-07-25,st33,2018-07-25T12:57:00Z,1,70
2018-07-25,st33,2018-07-25T12:57:00Z,1.5,56
2018-07-25,st33,2018-07-25T12:57:00Z,2,40
2018-07-25,st33,2018-07-25T12:57:00Z,2.5,27
2018-07-25,st33,2018-07-25T12:57:00Z,3,22
2018-07-25,st33,2018-07-25T13:40:00Z,-0.05,1260
2018-07-25,st33,2018-07-25T13:40:00Z,0.05,650
2018-07-25,st33,2018-07-25T13:40:00Z,0.5,410
2018-07-25,st33,2018-07-25T13:40:00Z,1,251
2018-07-25,st33,2018-07-25T13:40:00Z,1.5,160
2018-07-25,st33,2018-07-25T13:40:00Z,2,51
2018-07-25,st33,2018-07-25T14:30:00Z,-0.05,840
2018-07-25,st33,2018-07-25T14:30:00Z,0.05,570
2018-07-25,st33,2018-07-25T14:30:00Z,0.5,260
2018-07-25,st33,2018-07-25T14:30:00Z,1,150
2018-07-25,st33,2018-07-25T14:30:00Z,1.5,95
2018-07-25,st33,2018-07-25T14:30:00Z,2,58
2018-07-25,st33,2018-07-25T14:30:00Z,2.5,46
2018-07-25,st33,2018-07-25T14:30:00Z,3,37
2018-08-10,reyk,2018-08-10T12:04:00Z,0.05,1080
2018-08-10,reyk,2018-08-10T12:04:00Z,0.5,730
2018-08-10,reyk,2018-08-10T12:04:00Z,1,340
2018-08-10,reyk,2018-08-10T12:04:00Z,1.5,215
2018-08-10,grim,2018-08-10T13:52:00Z,0.05,850
2018-08-10,grim,2018-08-10T13:52:00Z,0.5,600
2018-08-10,grim,2018-08-10T13:52:00Z,1,345
2018-08-10,grim,2018-08-10T13:52:00Z,1.5,230
2018-08-10,grim,2018-08-10T13:52:00Z,2,180
2018-08-10,grim,2018-08-10T13:52:00Z,2.5,100
2018-08-10,grim,2018-08-10T13:52:00Z,3,75
2018-08-10,grim,2018-08-10T13:52:00Z,3.5,45
2018-08-10,grim,2018-08-10T13:52:00Z,4,30
2018-08-10,reyk,2018-08-10T14:59:00Z,0.05,1300
2018-08-10,reyk,2018-08-10T14:59:00Z,0.5,800
2018-08-10,reyk,2018-08-10T14:59:00Z,1,600
2018-08-10,reyk,2018-08-10T14:59:00Z,1.5,370
2018-08-10,reyk,2018-08-10T14:59:00Z,2,250
2018-08-10,reyk,2018-08-10T14:59:00Z,2.5,180
2018-08-10,reyk,2018-08-10T14:59:00Z,3,130
2018-08-10,reyk,2018-08-10T14:59:00Z,3.5,80
2018-08-10,reyk,2018-08-10T14:59:00Z,4,60
2018-08-10,reyk,2018-08-10T16:06:00Z,0.05,1130
2018-08-10,reyk,2018-08-10T16:06:00Z,0.5,780
2018-08-10,reyk,2018-08-10T16:06:00Z,1,490
2018-08-10,reyk,2018-08-10T16:06:00Z,1.5,325
2018-08-10,reyk,2018-08-10T16:06:00Z,2,160
2018-08-10,grim,2018-08-10T16:52:00Z,0.05,190
2018-08-10,grim,2018-08-10T16:52:00Z,0.5,130
2018-08-10,grim,2018-08-10T16:52:00Z,1,81
2018-08-10,grim,2018-08-10T16:52:00Z,1.5,40
2018-08-10,grim,2018-08-10T16:52:00Z,2,30
2018-08-10,grim,2018-08-10T16:52:00Z,2.5,20
2018-08-10,grim,2018-08-10T16:52:00Z,3,15
2018-08-10,grim,2018-08-10T16:52:00Z,3.5,10
2018-08-10,grim,2018-08-10T16:52:00Z,4,7
2018-08-10,reyk,2018-08-10T17:58:00Z,0.05,700
2018-08-10,reyk,2018-08-10T17:58:00Z,0.5,430
2018-08-10,reyk,2018-08-10T17:58:00Z,1,280
2018-08-10,reyk,2018-08-10T17:58:00Z,1.5,100
2018-08-10,reyk,2018-08-10T17:58:00Z,2,50
2018-08-10,reyk,2018-08-10T18:50:00Z,0.05,360
2018-08-10,reyk,2018-08-10T18:50:00Z,0.5,240
2018-08-10,reyk,2018-08-10T18:50:00Z,1,140
2018-08-10,reyk,2018-08-10T18:50:00Z,1.5,105
2018-08-10,reyk,2018-08-10T18:50:00Z,2,70
2018-08-10,reyk,2018-08-10T18:50:00Z,2.5,50
2018-08-12,st33,2018-08-12T12:50:00Z,-0.05,1500
2018-08-12,st33,2018-08-12T12:50:00Z,0.05,20
2018-08-12,st33,2018-08-12T12:50:00Z,0.5,0
2018-08-12,st33,2018-08-12T12:50:00Z,1,0
2018-08-12,st33,2018-08-12T12:50:00Z,1.5,0
2018-08-12,st33,2018-08-12T12:50:00Z,2,0
2018-08-12,st33,2018-08-12T12:50:00Z,2.5,0
2018-08-12,st33,2018-08-12T12:50:00Z,3,0
2018-08-12,kal,2018-08-12T15:19:00Z,-0.05,1200
2018-08-12,kal,2018-08-12T15:19:00Z,0.05,846
2018-08-12,kal,2018-08-12T15:19:00Z,0.5,636
2018-08-12,kal,2018-08-12T15:19:00Z,1,544
2018-08-12,kal,2018-08-12T15:19:00Z,1.5,481
2018-08-13,kal,2018-08-13T09:13:00Z,-0.05,1280
2018-08-13,kal,2018-08-13T09:13:00Z,0.05,240
2018-08-13,kal,2018-08-13T09:13:00Z,0.5,160
2018-08-13,kal,2018-08-13T09:13:00Z,1,128
2018-08-13,kal,2018-08-13T09:13:00Z,1.5,108
2018-08-13,kal,2018-08-13T09:13:00Z,2,91
2018-08-13,kal,2018-08-13T17:30:00Z,-0.05,950
2018-08-13,kal,2018-08-13T17:30:00Z,0.05,800
2018-08-13,kal,2018-08-13T17:30:00Z,0.5,680
2018-08-13,kal,2018-08-13T17:30:00Z,1,480
2018-08-13,kal,2018-08-13T17:30:00Z,1.5,300
2018-08-13,kal,2018-08-13T17:30:00Z,2,230
2018-08-15,reyk,2018-08-15T12:35:00Z,-0.05,750
2018-08-15,reyk,2018-08-15T12:35:00Z,0.05,435
2018-08-15,reyk,2018-08-15T12:35:00Z,0.5,263
2018-08-15,reyk,2018-08-15T12:35:00Z,1,108
2018-08-15,reyk,2018-08-15T12:35:00Z,1.5,57
2018-08-15,reyk,2018-08-15T12:35:00Z,2,28
2018-08-15,reyk,2018-08-15T14:54:00Z,-0.05,321
2018-08-15,reyk,2018-08-15T14:54:00Z,0.05,201
2018-08-15,reyk,2018-08-15T14:54:00Z,0.5,113
2018-08-15,reyk,2018-08-15T14:54:00Z,1,78
2018-08-15,reyk,2018-08-15T14:54:00Z,1.5,47
2018-08-15,reyk,2018-08-15T14:54:00Z,2,35
2018-08-15,reyk,2018-08-15T14:54:00Z,2.5,25
2018-08-15,st33,2018-08-15T16:46:00Z,-0.05,1161
2018-08-15,st33,2018-08-15T16:46:00Z,0.05,744
2018-08-15,st33,2018-08-15T16:46:00Z,0.5,347
2018-08-15,st33,2018-08-15T16:46:00Z,1,175
2018-08-15,st33,2018-08-15T16:46:00Z,1.5,110
2018-08-15,st33,2018-08-15T16:46:00Z,2,70
2018-08-15,st33,2018-08-15T16:46:00Z,2.5,45
2018-08-15,st33,2018-08-15T16:46:00Z,3,30
2018-08-15,st33,2018-08-15T17:50:00Z,-0.05,269
2018-08-15,st33,2018-08-15T17:50:00Z,0.05,168
2018-08-15,st33,2018-08-15T17:50:00Z,0.5,80
2018-08-15,st33,2018-08-15T17:50:00Z,1,46
2018-08-15,st33,2018-08-15T17:50:00Z,1.5,24
2018-08-15,st33,2018-08-15T17:50:00Z,2,15
2018-08-15,st33,2018-08-15T17:50:00Z,2.5,10
2018-08-15,st33,2018-08-15T17:50:00Z,3,6
2018-08-15,st33,2018-08-15T18:57:00Z,-0.05,222
2018-08-15,st33,2018-08-15T18:57:00Z,0.05,190
2018-08-15,st33,2018-08-15T18:57:00Z,0.5,100
2018-08-15,st33,2018-08-15T18:57:00Z,1,48
2018-08-15,st33,2018-08-15T18:57:00Z,1.5,27
2018-08-15,st33,2018-08-15T18:57:00Z,2,17
2018-08-15,st33,2018-08-15T18:57:00Z,2.5,11
2018-08-15,st33,2018-08-15T18:57:00Z,3,8
2018-08-15,st33,2018-08-15T22:00:00Z,-0.05,0
2018-08-15,st33,2018-08-15T22:00:00Z,0.05,0
2018-08-15,st33,2018-08-15T22:00:00Z,0.5,0
2018-08-15,st33,2018-08-15T22:00:00Z,1,0
2018-08-15,st33,2018-08-15T22:00:00Z,1.5,0
2018-08-15,st33,2018-08-15T22:00:00Z,2,0
2018-08-15,st33,2018-08-15T22:00:00Z,2.5,0
2018-08-15,st33,2018-08-15T22:00:00Z,3,0
2019-07-11,reyk,2019-07-11T09:45:00Z,0.05,351
2019-07-11,reyk,2019-07-11T09:45:00Z,0.5,118
2019-07-11,reyk,2019-07-11T09:45:00Z,1,42
2019-07-11,reyk,2019-07-11T09:45:00Z,1.5,20
2019-07-11,reyk,2019-07-11T09:45:00Z,2,15
2019-07-11,reyk,2019-07-11T14:14:00Z,0.05,381
2019-07-11,reyk,2019-07-11T14:14:00Z,0.5,155
2019-07-11,reyk,2019-07-11T14:13:59Z,1,65
2019-07-11,reyk,2019-07-11T14:13:59Z,1.5,30
2019-07-11,reyk,2019-07-11T14:13:59Z,2,15
2019-07-11,reyk,2019-07-11T14:13:59Z,2.5,10
2019-07-22,reyk,2019-07-22T15:33:00Z,0.05,110
2019-07-22,reyk,2019-07-22T15:33:00Z,0.5,70
2019-07-22,reyk,2019-07-22T15:33:00Z,1,40
2019-07-22,reyk,2019-07-22T15:33:00Z,1.5,20
2019-07-22,reyk,2019-07-22T15:33:00Z,2,11
2019-07-22,reyk,2019-07-22T15:33:00Z,2.5,6
2019-07-22,reyk,2019-07-22T18:36:00Z,0.05,91
2019-07-22,reyk,2019-07-22T18:36:00Z,0.5,47
2019-07-22,reyk,2019-07-22T18:36:00Z,1,24
2019-07-22,reyk,2019-07-22T18:36:00Z,1.5,20
2019-07-22,reyk,2019-07-22T18:36:00Z,2,12
2019-07-22,reyk,2019-07-22T15:49:00Z,0.05,170
2019-07-22,reyk,2019-07-22T15:49:00Z,0.5,110
2019-07-22,reyk,2019-07-22T15:49:00Z,1,58
2019-07-22,reyk,2019-07-22T15:49:00Z,1.5,32
2019-07-22,reyk,2019-07-22T15:49:00Z,2,20
2019-07-22,reyk,2019-07-22T15:49:00Z,2.5,11
2019-07-25,st33,2019-07-25T14:17:00Z,0.05,571
2019-07-25,st33,2019-07-25T14:17:00Z,0.5,473
2019-07-25,st33,2019-07-25T14:17:00Z,1,533
2019-07-25,st33,2019-07-25T15:36:00Z,0.05,375
2019-07-25,st33,2019-07-25T15:36:00Z,0.5,275
2019-07-25,st33,2019-07-25T15:36:00Z,1,173
2019-07-25,st33,2019-07-25T15:36:00Z,1.5,147
2019-07-25,st33,2019-07-25T15:36:00Z,2,120
2019-07-25,st33,2019-07-25T17:00:00Z,0.05,520
2019-07-25,st33,2019-07-25T17:00:00Z,0.5,437
2019-07-25,st33,2019-07-25T17:00:00Z,1,289
2019-07-25,st33,2019-07-25T17:00:00Z,1.5,270
2019-07-25,st33,2019-07-25T17:00:00Z,2,220
