inc_id,id,sampledate,site,rack,block,inc_depth,light_trt,probe,time_start,time_end,barom_start,barom_end,temp_start,temp_end,o2_sat_start,o2_sat_end,do_start,do_end,column_depth,flag,notes
1,1,2018-06-24,st33,2,1,0.5,0,2017,2018-06-24T11:34:00Z,2018-06-24T16:16:00Z,732.4,731.3,15.8,12.8,112.4,103.4,10.73,10.52,33,0,NA
2,2,2018-06-24,st33,2,1,0.5,1,2017,2018-06-24T11:35:00Z,2018-06-24T16:18:00Z,732.4,731.3,15.9,12.7,112.1,109.7,10.69,11.2,33,0,NA
3,3,2018-06-24,st33,2,1,0.5,3,2017,2018-06-24T11:36:00Z,2018-06-24T16:19:00Z,732.4,731.3,15.6,12.8,110.7,104.9,10.62,10.69,33,0,NA
4,4,2018-06-24,st33,2,1,0.5,5,2017,2018-06-24T11:36:00Z,2018-06-24T16:21:00Z,732.4,731.3,15.4,12.8,110.7,101.3,10.66,10.32,33,0,NA
5,5,2018-06-24,st33,2,1,0.5,10,2017,2018-06-24T11:37:00Z,2018-06-24T16:22:00Z,732.4,731.3,15.1,12.7,109.4,105.9,10.6,10.81,33,0,NA
6,6,2018-06-24,st33,2,4,0.5,0,2017,2018-06-24T12:05:00Z,2018-06-24T16:24:00Z,732.4,731.3,15.1,13.1,109,103.2,10.57,10.44,33,0,sample lost; refilled
7,7,2018-06-24,st33,2,2,0.5,1,2017,2018-06-24T11:39:00Z,2018-06-24T16:25:00Z,732.4,731.3,14.9,12.8,112.7,104.5,10.97,10.64,33,0,NA
8,8,2018-06-24,st33,2,2,0.5,3,2017,2018-06-24T11:39:00Z,2018-06-24T16:26:00Z,732.4,731.3,15.2,12.7,113.2,103,10.93,10.52,33,0,NA
9,9,2018-06-24,st33,2,2,0.5,5,2017,2018-06-24T11:40:00Z,2018-06-24T16:27:00Z,732.4,731.3,14.9,12.7,112.2,106.1,10.93,10.82,33,0,NA
10,10,2018-06-24,st33,2,2,0.5,10,2012,2018-06-24T11:30:00Z,2018-06-24T16:16:00Z,732.4,731.3,14.6,12.9,108.2,103.5,10.61,10.53,33,0,NA
11,11,2018-06-24,st33,3,3,0.5,0,2012,2018-06-24T11:31:00Z,2018-06-24T15:41:00Z,732.4,731.3,14.4,13.2,110.4,101.8,10.88,10.28,33,0,NA
12,12,2018-06-24,st33,3,3,0.5,1,2012,2018-06-24T11:32:00Z,2018-06-24T15:42:00Z,732.4,731.3,14.6,13.2,110.2,103.2,10.81,10.43,33,0,NA
13,13,2018-06-24,st33,3,3,0.5,3,2012,2018-06-24T11:33:00Z,2018-06-24T15:44:00Z,732.4,731.3,15,13.1,111.3,105,10.82,10.63,33,0,NA
14,14,2018-06-24,st33,3,5,0.5,5,2012,2018-06-24T12:14:00Z,2018-06-24T15:43:00Z,732.4,731.3,14.4,13,110.3,106.5,10.86,10.8,33,0,sample lost; refilled
15,15,2018-06-24,st33,3,3,0.5,10,2012,2018-06-24T11:35:00Z,2018-06-24T15:47:00Z,732.4,731.3,14.2,12.9,108,105,10.69,10.68,33,0,NA
16,16,2018-06-24,st33,3,3,0.5,0,2012,2018-06-24T11:36:00Z,2018-06-24T15:45:00Z,732.4,731.3,14.4,13,107.9,100.2,10.63,10.17,33,0,NA
17,17,2018-06-24,st33,3,3,0.5,0,2012,2018-06-24T11:37:00Z,NA,732.4,NA,16.4,NA,107.5,NA,10.54,NA,33,1,sample lost
1,18,2018-06-28,reyk,3,1,0.5,0,2012,2018-06-28T15:28:00Z,2018-06-28T21:27:00Z,746.3,746.3,14,13,104.2,101.1,10.54,10.45,33,0,NA
2,19,2018-06-28,reyk,3,1,0.5,1,2017,2018-06-28T15:29:00Z,2018-06-28T21:27:00Z,746.3,746.3,14,12.8,103.7,98.3,10.49,10.21,33,0,NA
3,20,2018-06-28,reyk,3,1,0.5,3,2012,2018-06-28T15:30:00Z,2018-06-28T21:28:00Z,746.3,746.3,14.1,12.8,104.1,99.2,10.51,10.29,33,0,NA
4,21,2018-06-28,reyk,3,1,0.5,7,2017,2018-06-28T15:31:00Z,2018-06-28T21:28:00Z,746.3,746.3,14.1,12.6,104.2,98,10.52,10.21,33,0,NA
5,22,2018-06-28,reyk,3,1,0.5,10,2012,2018-06-28T15:33:00Z,2018-06-28T21:30:00Z,746.3,746.3,14.1,12.8,104.3,98,10.53,10.24,33,0,NA
6,23,2018-06-28,reyk,3,2,0.5,0,2017,2018-06-28T15:35:00Z,2018-06-28T21:34:00Z,746.3,746.3,13.7,12.8,104.5,98.4,10.64,10.22,33,0,NA
7,24,2018-06-28,reyk,3,2,0.5,1,2012,2018-06-28T15:35:00Z,2018-06-28T21:31:00Z,746.3,746.3,14,12.7,104.2,99.3,10.54,10.33,33,0,NA
8,25,2018-06-28,reyk,3,2,0.5,3,2017,2018-06-28T15:36:00Z,2018-06-28T21:34:00Z,746.3,746.3,13.9,12.4,104.4,97,10.59,10.16,33,0,NA
9,26,2018-06-28,reyk,3,2,0.5,7,2012,2018-06-28T15:39:00Z,2018-06-28T21:32:00Z,746.3,746.3,14.2,12.6,104.3,99.9,10.51,10.42,33,0,NA
10,27,2018-06-28,reyk,3,2,0.5,10,2017,2018-06-28T15:39:00Z,2018-06-28T21:35:00Z,746.3,746.3,13.9,12.6,104.1,98.2,10.56,10.24,33,0,NA
11,28,2018-06-28,reyk,4,3,0.5,0,2012,2018-06-28T15:51:00Z,2018-06-28T21:33:00Z,746.3,746.3,14.1,13,104.5,99.7,10.56,10.31,33,0,NA
12,29,2018-06-28,reyk,4,3,0.5,1,2017,2018-06-28T15:52:00Z,2018-06-28T21:36:00Z,746.3,746.3,14.2,12.6,104.9,95.5,10.57,9.96,33,0,NA
13,30,2018-06-28,reyk,4,3,0.5,3,2012,2018-06-28T15:52:00Z,2018-06-28T21:33:00Z,746.3,746.3,14,12.6,104.4,99.4,10.57,10.36,33,0,NA
14,31,2018-06-28,reyk,4,3,0.5,7,2017,2018-06-28T15:54:00Z,2018-06-28T21:38:00Z,746.3,746.3,14,12.3,104.7,98.3,10.6,10.32,33,0,NA
15,32,2018-06-28,reyk,4,3,0.5,10,2012,2018-06-28T15:55:00Z,2018-06-28T21:35:00Z,746.3,746.3,14,12.9,104.3,100.7,10.55,10.43,33,0,NA
16,33,2018-06-28,reyk,4,3,0.5,0,2017,2018-06-28T15:57:00Z,2018-06-28T21:39:00Z,746.3,746.3,13.9,12.9,104.5,97.8,10.59,10.12,33,0,NA
17,34,2018-06-28,reyk,4,3,0.5,0,2012,2018-06-28T15:57:00Z,2018-06-28T21:37:00Z,746.3,746.3,14.3,12.9,104.4,100.5,10.5,10.42,33,0,NA
18,35,2018-06-28,grim,4,1,0.5,0,2017,2018-06-28T16:41:00Z,2018-06-28T21:41:00Z,746.3,746.3,13.5,12.9,105.4,102.9,10.79,10.66,33,0,NA
19,36,2018-06-28,grim,4,1,0.5,10,2012,2018-06-28T16:41:00Z,2018-06-28T21:44:00Z,746.3,746.3,13.2,12.9,105.3,102.7,10.85,10.64,33,0,NA
20,37,2018-06-28,grim,4,1,0.5,0,2017,2018-06-28T16:43:00Z,2018-06-28T21:43:00Z,746.3,746.3,13.3,12.8,105.2,100.8,10.83,10.46,33,0,NA
21,38,2018-06-28,grim,4,1,0.5,10,2012,2018-06-28T16:43:00Z,2018-06-28T21:40:00Z,746.3,746.3,13.5,12.9,105.6,103.2,10.83,10.69,33,0,NA
22,39,2018-06-28,grim,4,1,0.5,0,2017,2018-06-28T16:45:00Z,2018-06-28T21:44:00Z,746.3,746.3,13.3,12.7,105.7,103.1,10.89,10.73,33,0,NA
23,40,2018-06-28,grim,2,1,0.5,10,2012,2018-06-28T16:45:00Z,2018-06-28T21:43:00Z,746.3,746.3,13.5,12.9,106,101.6,10.85,10.53,33,0,NA
24,41,2018-06-28,grim,2,1,0.5,0,2017,2018-06-28T16:45:00Z,NA,746.3,746.3,13.3,NA,105.9,NA,10.88,NA,NA,1,sample lost
25,42,2018-06-28,grim,2,1,0.5,0,2012,2018-06-28T16:46:00Z,2018-06-28T21:45:00Z,746.3,746.3,13.6,12.9,105.8,103.9,10.81,10.76,33,0,NA
1,43,2018-07-17,reyk,3,1,0.5,0,2012,2018-07-17T13:12:00Z,2018-07-17T21:22:00Z,735.1,735.2,12.9,13.2,104.7,104.1,10.71,10.57,33,0,NA
2,44,2018-07-17,reyk,3,1,0.5,1,2017,2018-07-17T13:11:00Z,2018-07-17T21:22:00Z,735.1,735.2,12.8,13,105.6,106.5,10.82,10.85,33,0,NA
3,45,2018-07-17,reyk,3,1,0.5,3,2012,2018-07-17T13:14:00Z,2018-07-17T21:23:00Z,735.1,735.2,12.9,13.2,104.5,104.8,10.69,10.63,33,0,NA
4,46,2018-07-17,reyk,3,1,0.5,7,2017,2018-07-17T13:14:00Z,2018-07-17T21:23:00Z,735.1,735.2,12.8,13.1,105.7,104.3,10.83,10.6,33,0,NA
5,47,2018-07-17,reyk,3,1,0.5,10,2012,2018-07-17T13:18:00Z,2018-07-17T21:24:00Z,735.1,735.2,12.9,13.2,104.5,103.4,10.7,10.49,33,0,NA
6,48,2018-07-17,reyk,3,2,0.5,0,2017,2018-07-17T13:18:00Z,2018-07-17T21:24:00Z,735.1,735.2,12.9,13.2,104.9,105.6,10.72,10.71,33,0,NA
7,49,2018-07-17,reyk,3,2,0.5,1,2012,2018-07-17T13:20:00Z,2018-07-17T21:25:00Z,735.1,735.2,12.9,13.2,104,104.5,10.63,10.6,33,0,NA
8,50,2018-07-17,reyk,3,2,0.5,3,2017,2018-07-17T13:20:00Z,2018-07-17T21:27:00Z,735.1,735.2,12.7,13.2,104.7,104.2,10.75,10.57,33,0,NA
9,51,2018-07-17,reyk,3,2,0.5,7,2012,2018-07-17T13:21:00Z,2018-07-17T21:27:00Z,735.1,735.2,13,13.2,104,106.2,10.62,10.77,33,0,NA
10,52,2018-07-17,reyk,3,2,0.5,10,2017,2018-07-17T13:23:00Z,2018-07-17T21:28:00Z,735.1,735.2,12.9,13.1,105.7,102.8,10.8,10.45,33,0,NA
11,53,2018-07-17,reyk,1,3,0.5,0,2012,2018-07-17T13:31:00Z,2018-07-17T21:36:00Z,735.1,735.2,13.3,13.1,105,107.8,10.65,10.96,33,0,NA
12,54,2018-07-17,reyk,1,3,0.5,1,2017,2018-07-17T13:31:00Z,2018-07-17T21:36:00Z,735.1,735.2,13,12.9,106.2,103.9,10.82,10.61,33,0,NA
13,55,2018-07-17,reyk,1,3,0.5,3,2012,2018-07-17T13:35:00Z,2018-07-17T21:37:00Z,735.1,735.2,13.1,13.2,105.4,107.7,10.73,10.93,33,0,NA
14,56,2018-07-17,reyk,1,3,0.5,7,2017,2018-07-17T13:35:00Z,2018-07-17T21:37:00Z,735.1,735.2,13,13,107.3,107,10.93,10.9,33,0,NA
15,57,2018-07-17,reyk,1,3,0.5,10,2012,2018-07-17T13:39:00Z,2018-07-17T21:39:00Z,735.1,735.2,13.2,13.3,104.2,100.3,10.58,10.16,33,0,NA
16,58,2018-07-17,reyk,1,3,0.5,0,2017,2018-07-17T13:41:00Z,2018-07-17T21:37:00Z,735.1,735.2,13,13.1,107,108.4,10.93,11.02,33,0,NA
17,59,2018-07-17,reyk,1,3,0.5,0,2012,2018-07-17T13:38:00Z,2018-07-17T21:42:00Z,735.1,735.2,13.2,13.3,106.6,108.4,10.82,10.97,33,0,NA
18,60,2018-07-17,grim,1,1,0.5,0,2017,2018-07-17T15:08:00Z,2018-07-17T21:40:00Z,735.1,735.2,13.2,13.1,108,114.7,10.93,11.66,33,0,NA
19,61,2018-07-17,grim,1,1,0.5,0,2012,2018-07-17T15:10:00Z,2018-07-17T21:44:00Z,735.1,735.2,13,13.3,106.7,110.1,10.88,11.16,33,0,NA
20,62,2018-07-17,grim,1,1,0.5,0,2017,2018-07-17T15:11:00Z,2018-07-17T21:43:00Z,735.1,735.2,12.9,13.1,107.2,115.2,10.95,11.71,33,0,NA
21,63,2018-07-17,grim,2,1,0.5,10,2012,2018-07-17T15:24:00Z,2018-07-17T21:48:00Z,735.1,735.2,13.2,13,106.7,101.7,10.83,10.37,33,0,NA
22,64,2018-07-17,grim,2,1,0.5,0,2017,2018-07-17T15:24:00Z,2018-07-17T21:49:00Z,735.1,735.2,13.1,13,108.2,109.6,11.01,11.16,33,0,NA
23,65,2018-07-17,grim,2,1,0.5,10,2012,2018-07-17T15:26:00Z,2018-07-17T21:50:00Z,735.1,735.2,12.9,13.1,106.3,104,10.87,10.58,33,0,NA
24,66,2018-07-17,grim,2,1,0.5,0,2017,2018-07-17T15:26:00Z,2018-07-17T21:51:00Z,735.1,735.2,12.8,13,107.8,109.5,11.03,11.16,33,0,NA
25,67,2018-07-17,grim,2,1,0.5,10,2012,2018-07-17T15:28:00Z,2018-07-17T21:51:00Z,735.1,735.2,12.9,13.1,106.1,104.1,10.84,10.59,33,0,NA
1,68,2018-07-25,st33,3,1,0.5,0,2012,2018-07-25T10:11:00Z,2018-07-25T14:39:00Z,730.5,731.1,13.7,13.5,111.8,112,11.15,11.23,33,0,NA
2,69,2018-07-25,st33,3,1,0.5,1,2017,2018-07-25T10:12:00Z,2018-07-25T14:40:00Z,730.5,731.1,13.7,13.3,115.1,114.4,11.47,11.52,33,0,NA
3,70,2018-07-25,st33,3,1,0.5,3,2012,2018-07-25T10:13:00Z,2018-07-25T14:41:00Z,730.5,731.1,13.8,13.3,112,111.9,11.12,11.27,33,0,NA
4,71,2018-07-25,st33,3,1,0.5,7,2017,2018-07-25T10:15:00Z,2018-07-25T14:45:00Z,730.5,731.1,13.4,13.1,114.8,114.8,11.51,11.62,33,0,NA
5,72,2018-07-25,st33,3,1,0.5,10,2012,2018-07-25T10:17:00Z,2018-07-25T14:45:00Z,730.5,731.1,13.6,13.2,111.1,107.3,11.11,10.83,33,0,NA
6,73,2018-07-25,st33,3,2,0.5,0,2017,2018-07-25T10:19:00Z,2018-07-25T14:48:00Z,730.5,731.1,13.6,13.1,113.7,114.5,11.36,11.58,33,0,NA
7,74,2018-07-25,st33,3,2,0.5,1,2012,2018-07-25T10:19:00Z,2018-07-25T14:48:00Z,730.5,731.1,13.6,13.2,111.7,115,11.16,11.61,33,0,NA
8,75,2018-07-25,st33,3,2,0.5,3,2017,2018-07-25T10:20:00Z,2018-07-25T14:51:00Z,730.5,731.1,13.4,13.1,114,113.3,11.44,11.46,33,0,NA
9,76,2018-07-25,st33,3,2,0.5,7,2012,2018-07-25T10:22:00Z,2018-07-25T14:49:00Z,730.5,731.1,13.5,13.2,111.5,115.8,11.18,11.69,33,0,NA
10,77,2018-07-25,st33,3,2,0.5,10,2017,2018-07-25T10:23:00Z,2018-07-25T14:54:00Z,730.5,731.1,13.5,13.2,114.7,109.6,11.48,11.06,33,0,NA
11,78,2018-07-25,st33,4,3,0.5,0,2012,2018-07-25T10:31:00Z,2018-07-25T15:03:00Z,730.5,731.1,13.5,13.4,113.5,118.1,11.34,11.86,33,0,NA
12,79,2018-07-25,st33,4,3,0.5,1,2017,2018-07-25T10:31:00Z,2018-07-25T15:03:00Z,730.5,731.1,13.2,13.2,115.9,117.6,11.68,11.87,33,0,NA
13,80,2018-07-25,st33,4,3,0.5,3,2012,2018-07-25T10:33:00Z,2018-07-25T15:05:00Z,730.5,731.1,13.5,13.3,112.3,113.3,11.25,11.41,33,0,NA
14,81,2018-07-25,st33,4,3,0.5,7,2017,2018-07-25T10:34:00Z,2018-07-25T15:06:00Z,730.5,731.1,13.3,13.1,115.4,112.7,11.61,11.4,33,0,NA
15,82,2018-07-25,st33,4,3,0.5,10,2012,2018-07-25T10:36:00Z,2018-07-25T15:08:00Z,730.5,731.1,13.5,13.5,112.2,107.6,11.24,10.84,33,0,NA
16,83,2018-07-25,st33,4,3,0.5,0,2017,2018-07-25T10:39:00Z,2018-07-25T15:08:00Z,730.5,731.1,13.4,13.2,115.2,115.2,11.56,11.69,33,0,NA
17,84,2018-07-25,st33,4,3,0.5,0,2012,2018-07-25T10:39:00Z,2018-07-25T15:10:00Z,730.5,731.1,13.8,13.3,114.2,114.2,11.36,11.56,33,0,NA
1,85,2018-08-10,reyk,1,1,0.5,0,2012,2018-08-10T10:35:00Z,2018-08-10T18:07:00Z,736.3,736.1,12.3,13.3,103.1,106.1,10.7,10.76,33,0,NA
2,86,2018-08-10,reyk,1,1,0.5,1,2017,2018-08-10T10:38:00Z,2018-08-10T18:07:00Z,736.3,736.1,12.9,12.7,106.5,109.1,10.9,11.21,33,0,NA
3,87,2018-08-10,reyk,1,1,0.5,3,2012,2018-08-10T10:39:00Z,2018-08-10T18:09:00Z,736.3,736.1,13,12.9,104.1,106.4,10.63,10.89,33,0,NA
4,88,2018-08-10,reyk,1,1,0.5,7,2017,2018-08-10T10:42:00Z,2018-08-10T18:09:00Z,736.3,736.1,12.3,12.6,106.4,112.7,11.03,11.6,33,0,NA
5,89,2018-08-10,reyk,1,1,0.5,10,2012,2018-08-10T10:45:00Z,2018-08-10T18:12:00Z,736.3,736.1,13.4,12.6,106.1,102.5,10.72,10.55,33,0,NA
6,90,2018-08-10,reyk,1,2,0.5,0,2017,2018-08-10T10:47:00Z,2018-08-10T18:11:00Z,736.3,736.1,12.9,12.6,107.2,109.9,10.97,11.32,33,0,NA
7,91,2018-08-10,reyk,1,2,0.5,1,2012,2018-08-10T10:48:00Z,2018-08-10T18:16:00Z,736.3,736.1,13.3,12.8,104,109.2,10.55,11.2,33,0,NA
8,92,2018-08-10,reyk,1,2,0.5,3,2017,2018-08-10T10:48:00Z,2018-08-10T18:13:00Z,736.3,736.1,12.9,12.6,107.7,112.6,11.03,11.59,33,0,NA
9,93,2018-08-10,reyk,1,4,0.5,7,2012,2018-08-10T10:57:00Z,2018-08-10T18:17:00Z,736.3,736.1,11.8,12.8,102.3,107.5,10.74,11.02,33,0,NA
10,94,2018-08-10,reyk,1,2,0.5,10,2017,2018-08-10T10:53:00Z,2018-08-10T18:16:00Z,736.3,736.1,12.4,12.3,106.7,104.2,11.04,10.8,33,0,NA
11,95,2018-08-10,reyk,3,3,0.5,0,2012,2018-08-10T11:08:00Z,2018-08-10T18:27:00Z,736.3,736.1,14.3,12.8,106.2,105.8,10.58,10.85,33,0,NA
12,96,2018-08-10,reyk,3,3,0.5,1,2017,2018-08-10T11:07:00Z,2018-08-10T18:27:00Z,736.3,736.1,13.5,12.6,108.8,111,10.98,11.43,33,0,NA
13,97,2018-08-10,reyk,3,3,0.5,3,2012,2018-08-10T11:11:00Z,2018-08-10T18:29:00Z,736.3,736.1,12.9,12.7,102.9,108.1,10.53,11.12,33,0,NA
14,98,2018-08-10,reyk,3,3,0.5,7,2017,2018-08-10T11:12:00Z,2018-08-10T18:29:00Z,736.3,736.1,11.7,12.4,105.2,109.9,11.06,11.36,33,0,NA
15,99,2018-08-10,reyk,3,3,0.5,10,2012,2018-08-10T11:15:00Z,2018-08-10T18:31:00Z,736.3,736.1,12.2,12.6,102.5,102,10.66,10.51,33,0,NA
16,100,2018-08-10,reyk,3,4,0.5,0,2017,2018-08-10T11:18:00Z,2018-08-10T18:32:00Z,736.3,736.1,12,12.5,105.6,107.9,11.03,11.13,33,0,NA
17,101,2018-08-10,reyk,3,4,0.5,0,2012,2018-08-10T11:19:00Z,2018-08-10T18:34:00Z,736.3,736.1,12.6,12.7,103.5,106.9,10.67,10.99,33,0,NA
18,102,2018-08-10,grim,3,1,0.5,0,2017,2018-08-10T11:58:00Z,2018-08-10T18:34:00Z,736.2,736.2,12.3,12.5,106.8,111.3,11.08,11.48,33,0,NA
19,103,2018-08-10,grim,3,1,0.5,10,2012,2018-08-10T12:01:00Z,2018-08-10T18:35:00Z,736.2,736.2,12,12.5,103.5,101.6,10.81,10.47,33,0,NA
20,104,2018-08-10,grim,3,1,0.5,0,2017,2018-08-10T12:00:00Z,NA,736.2,736.2,11.7,NA,105.3,NA,11.05,NA,NA,1,sample lost
21,105,2018-08-10,grim,2,1,0.5,10,2012,2018-08-10T12:15:00Z,2018-08-10T18:44:00Z,736.2,736.2,12.2,12.9,103.9,102.8,10.81,10.52,33,0,NA
22,106,2018-08-10,grim,2,1,0.5,0,2017,2018-08-10T12:15:00Z,2018-08-10T18:44:00Z,736.2,736.2,12.5,12.5,107.1,110,11.05,11.36,33,0,NA
23,107,2018-08-10,grim,2,1,0.5,10,2012,2018-08-10T12:17:00Z,2018-08-10T18:46:00Z,736.2,736.2,12.3,12.7,104.6,103.9,10.85,10.69,33,0,NA
24,108,2018-08-10,grim,2,1,0.5,0,2017,2018-08-10T12:17:00Z,2018-08-10T18:47:00Z,736.2,736.2,12.3,12.4,107.1,111.5,11.1,11.54,33,0,NA
25,109,2018-08-10,grim,2,1,0.5,0,2012,2018-08-10T12:20:00Z,2018-08-10T18:48:00Z,736.2,736.2,12.4,12.7,103.9,105.7,10.76,10.87,33,0,NA
